country,chamber,chamber_type,dimension,indicator,question_id,question_text,selected_answer,score,max_score,country_context,supporting_evidence
Thailand,House of Representatives,lower,Accountability,Post-legislative scrutiny of laws,Q6.1,Is there post-legislative scrutiny of laws by Parliament to assess effectiveness after enactment?,Not practised,0.0,1,"[formal parliamentary procedures] 
post-legislative scrutiny is mandated by the The 2017 Constitution of Thailand under article 77, but traditionally carried out by government agencies, not executed by parliament or MPs per Rules on Legislative Drafting and Evaluation
of the Outcomes of Law Act, B.E. 2562 (2019)
""When the law has come into force, the State should undertake an evaluation of the outcomes of the
law at every specified period of time, for which consultation with stakeholders shall be conducted, with a view to developing all laws to be suitable to and appropriate for the changing contexts."" 
The duty falls under the executive branch.",
Thailand,House of Representatives,lower,Accountability,Post-legislative scrutiny of laws,Q6.2,How consistently are laws subject to post-legislative scrutiny by Parliament after enactment?,Scrutiny occurs inconsistently or selectively,0.5,1,"[formal parliamentary procedures] 
post-legislative scrutiny is mandated by the The 2017 Constitution of Thailand under article 77, but traditionally carried out by government agencies, not executed by parliament or MPs per Rules on Legislative Drafting and Evaluation
of the Outcomes of Law Act, B.E. 2562 (2019)
""When the law has come into force, the State should undertake an evaluation of the outcomes of the
law at every specified period of time, for which consultation with stakeholders shall be conducted, with a view to developing all laws to be suitable to and appropriate for the changing contexts."" 
The duty falls under the executive branch.",
Thailand,House of Representatives,lower,Citizen Participation,Public feedback on bills prior to Parliament deliberation,Q7.1,"Is there regular public consultation for proposals or feedback on bills during the drafting stage, prior to formal introduction in Parliament?",The public is openly invited to provide feedback on most or all draft bills,1.0,1,"[formal parliamentary procedures]
Thai The 2017 Constitution of Thailand article 77 Paragraph 2 ""Prior to the enactment of every law, the State should conduct consultation with stakeholders, analyse any impacts that may occur from the law thoroughly and systematically, and should also disclose the results of the consultation and analysis to the public, and take them into consideration at every stage of the legislative process""

public hearing and and feedback report on each hearing is available on its own site https://www.parliament.go.th/article77/index.php 
Aside from the online portal, public hearing is also conducted in affected areas for some bills as well. 


[actual parliamentary practice]
The feedback provided by the public during the hearing is not legally binding. ","source 1: https://www.parliament.go.th/article77/index.php   
source 2: ปัญหากระบวนการรับฟังความคิดเห็นในการตรากฎหมายตามมาตรา 77 ของรัฐธรรมนูญแห่งราชอาณาจักรไทย พุทธศักราช 2560 "
Thailand,House of Representatives,lower,Citizen Participation,Public feedback on bills prior to Parliament deliberation,Q7.2,"Is information provided on how public feedback given during the drafting of bills, prior to formal introduction in Parliament, is considered?",Information is provided inconsistently or selectively,0.5,1,"[formal parliamentary procedures]
Thai The 2017 Constitution of Thailand article 77 Paragraph 2 ""Prior to the enactment of every law, the State should conduct consultation with stakeholders, analyse any impacts that may occur from the law thoroughly and systematically, and should also disclose the results of the consultation and analysis to the public, and take them into consideration at every stage of the legislative process""

public hearing and and feedback report on each hearing is available on its own site https://www.parliament.go.th/article77/index.php 
Aside from the online portal, public hearing is also conducted in affected areas for some bills as well. 


[actual parliamentary practice]
The feedback provided by the public during the hearing is not legally binding. ",
Thailand,House of Representatives,lower,Citizen Participation,Public feedback on bills during Parliament deliberation,Q8.1,Is there regular public consultation for proposals or feedback on bills during parliamentary review or committee stages?,Public consultation occurs through closed calls or only for selected bills,0.5,1,Feedback during parliamentary review or committee stages occur through invitation.,
Thailand,House of Representatives,lower,Citizen Participation,Public feedback on bills during Parliament deliberation,Q8.2,Is information provided on how public feedback given during the parliamentary review or committee stages of a bill is considered?,No information is provided,0.0,1,Feedback during parliamentary review or committee stages occur through invitation.,
Thailand,House of Representatives,lower,Citizen Participation,Public feedback on laws post-enactment,Q9.1,Is the public formally able to provide feedback on enacted laws to inform review or amendment?,"Public can provide feedback, but only selectively or on an ad hoc basis",0.5,1,"[formal parliamentary procedures]- Per The 2017 Constitution of Thailand article 77  ""When the law has come into force, the State should undertake an evaluation of the outcomes of the law at every specified period of time, for which consultation with stakeholders shall be conducted, with a view to developing all laws to be suitable to and appropriate for the changing contexts."" 

Public consultation process can be included in the post-enactment review reporting, but is determined by government agencies via The Rules on Legislative Drafting and Evaluation
of the Outcomes of Law Act, B.E. 2562 (2019), and is not applicable to all laws.

",
Thailand,House of Representatives,lower,Citizen Participation,Public feedback on laws post-enactment,Q9.2,"Is information provided on how public feedback given post-enactment of a law, is considered?",Information is provided inconsistently or selectively,0.5,1,"[formal parliamentary procedures]- Per The 2017 Constitution of Thailand article 77  ""When the law has come into force, the State should undertake an evaluation of the outcomes of the law at every specified period of time, for which consultation with stakeholders shall be conducted, with a view to developing all laws to be suitable to and appropriate for the changing contexts."" 

Public consultation process can be included in the post-enactment review reporting, but is determined by government agencies via The Rules on Legislative Drafting and Evaluation
of the Outcomes of Law Act, B.E. 2562 (2019), and is not applicable to all laws.

",
Thailand,House of Representatives,lower,Transparency,Availability of MP personal information,Q10.1,Is the following information about Members of Parliament publicly made available by Parliament? [Select all that apply],"Yes, a name list identifying MPs",0.25,1,only the name list and party is provided,
Thailand,House of Representatives,lower,Transparency,Availability of MP personal information,Q10.2,"Is each of the categories selected above available for all MPs, or only some?",Available for all or most MPs,1.0,1,only the name list and party is provided,
Thailand,House of Representatives,lower,Transparency,Availability of MP personal information,Q10.3,In what format does Parliament publish the above information about Members of Parliament?,Non-Machine Readable Format,0.25,1,only the name list and party is provided,
Thailand,House of Representatives,lower,Transparency,Availability of MPs' staff personal information,Q11.1,Is the following information about staff of Members of Parliament publicly made available by Parliament? [Select all that apply],Not available,0.0,1,Information on MP staff is unavailable.,
Thailand,House of Representatives,lower,Transparency,Availability of MPs' staff personal information,Q11.2,"Is each of the categories of information selected above available for all staff of Members of Parliament, or only some?",Not available,0.0,1,Information on MP staff is unavailable.,
Thailand,House of Representatives,lower,Transparency,Availability of MPs' staff personal information,Q11.3,In what format does Parliament publish the above information on staff of Members of Parliament?,Not available,0.0,1,Information on MP staff is unavailable.,
Thailand,House of Representatives,lower,Citizen Participation,Physical accessibility for persons with disabilities,Q12.1,Does Parliament have facilities to ensure physical accessibility for persons with disabilities within the parliamentary buildings?,"Some accessibility measures exist, but coverage is partial or inconsistent",0.5,1,"The parliament was designed to accomdate people with disability, though in practice some areas still lack maintenance and facilities may not be readily avaialable at all times. ","Source 1: https://www.facebook.com/photo/?fbid=1474320351403437&set=pcb.1474320558070083
Source 2: สิ่งอำนวยความสะดวกภายในอาคารรัฐสภา ตามกฎกระทรวง  "
Thailand,House of Representatives,lower,Citizen Participation,Physical accessibility for persons with disabilities,Q12.2,Is physical accessibility infrastructure for persons with disabilities available across parliamentary buildings?,Available in some buildings,0.5,1,"The parliament was designed to accomdate people with disability, though in practice some areas still lack maintenance and facilities may not be readily avaialable at all times. ",
Thailand,House of Representatives,lower,Citizen Participation,Web content accessibility for persons with disabilities,Q13.1,Does the official Parliament website adhere to the AAA standard of the Web Content Accessibility Guidelines to make its content accessible for persons with disabilities?,Accessibility standards are applied partially or inconsistently,0.5,1,"Web Content Accessibility Guidelines is not strictly adhered to, and a few of website  pages include transcripts for audio, alternative formats for texts, alternative dialect reading, and alternative colorways, though most pages do not.",
Thailand,House of Representatives,lower,Citizen Participation,Web content accessibility for persons with disabilities,Q13.2,To what extent is the AAA standard of the Web Content Accessibility Guidelines applied across content on the official Parliament website?,Applied across some content,0.5,1,,
Thailand,House of Representatives,lower,Transparency,Openness of plenary sessions to public,Q14.1,Are plenary sessions physically open to the public?,"Yes, with permission",0.5,1,"A request must be filed in advance for non-MPs to observe plenary sessions.
",Source 1: https://www.parliament.go.th/assets/portals/455/files/ระเบียบการเข้าฟังการประชุม%202562.pdf 
Thailand,House of Representatives,lower,Transparency,Schedule of plenary sessions,Q15.1,Does Parliament publish detailed agendas for plenary sessions to enable meaningful preparation?,Detailed agendas are consistently published,1.0,1,Agendas are published on the parliament website/calendar.,Source 1: https://www.parliament.go.th/view/1/representatives/TH-TH 
Thailand,House of Representatives,lower,Transparency,Schedule of plenary sessions,Q15.2,How far in advance is the agenda of plenary sessions published?,More than 48 hours and up to 72 hours in advance,0.75,1,Agendas are published on the parliament website/calendar.,
Thailand,House of Representatives,lower,Transparency,Recordings of plenary sessions,Q16.1,Are recordings of plenary sessions published by Parliament?,Recordings are published for most or all sessions,1.0,1,Non-confidential sessions are livestreamed through the parliament's channels. ,"Source 1: TPchannel
Source 2: Parliament Search"
Thailand,House of Representatives,lower,Transparency,Recordings of plenary sessions,Q16.2,How soon are recordings of plenary sessions published by Parliament?,Livestreamed or recordings available immediately after the session,1.0,1,Non-confidential sessions are livestreamed through the parliament's channels. ,
Thailand,House of Representatives,lower,Transparency,Transcripts of plenary sessions,Q17.1,Are verbatim official records of plenary sessions published by Parliament?,Transcripts are published for some sessions,0.5,1,Official transcripts are published per Article 23 of the 2020 Parliamentary Procedure Regulations  unless the session was classified as confidential.,
Thailand,House of Representatives,lower,Transparency,Transcripts of plenary sessions,Q17.2,How soon are corrected verbatim official records of plenary sessions published by Parliament?,Published more than 3 weeks after,0.25,1,"There is no regulated timeframe for the official transcripts. In practice, they are usually published at the prorogation, months after the meetings.
However, AI-assisted, non-machine readable transcripts are provided on the parliament website no later than a week after the meeting. 
","Source 1: Parliament Search
Source 2: รายงานการประชุม (PDF) ชุดที่ 26"
Thailand,House of Representatives,lower,Transparency,Transcripts of plenary sessions,Q17.3,In what format does Parliament publish plenary session transcripts?,Non-Machine-Readable Format,0.25,1,,
Thailand,House of Representatives,lower,Transparency,Attendance in plenary sessions,Q18.1,Are the attendees of daily plenary sessions published by Parliament?,Attendees are published for most or all sessions,1.0,1,"Attendance is published in the transcript records.

Presence during votes can be accessed via the database. 
","Source 1: https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main.php?filename=index  
Source 2: รายงานการประชุม (PDF) ชุดที่ 26 "
Thailand,House of Representatives,lower,Transparency,Attendance in plenary sessions,Q18.2,How soon are daily attendance lists of Members of Parliament for plenary sessions made publicly available?,Published more than 72 hours after,0.25,1,"Attendance is published in the transcript records, and as there is no regulated timeframe for the official transcripts. In practice, they are usually published at the prorogation, months after the meetings.",
Thailand,House of Representatives,lower,Transparency,Attendance in plenary sessions,Q18.3,In what format does Parliament publish attendance lists of Members of Parliament for plenary sessions?,Non-Machine-Readable Format,0.25,1,,
Thailand,House of Representatives,lower,Transparency,Openness of committee meetings to public,Q19.1,Are Parliament committee meetings physically open to the public?,"Yes, with permission",0.5,1,,
Thailand,House of Representatives,lower,Transparency,Schedule of committee meetings,Q20.1,Does Parliament publish the agendas of all committee meetings to allow meaningful preparation?,"Agendas are published, but lack sufficient detail or not applicable to all committees",0.5,1,"inconslusive as of now, practices vary depending on each committee",
Thailand,House of Representatives,lower,Transparency,Schedule of committee meetings,Q20.2,How far in advance is the agenda of committee meetings published?,More than 72 hours in advance,1.0,1,"inconslusive as of now, practices vary depending on each committee",
Thailand,House of Representatives,lower,Transparency,Recordings of committee meetings,Q21.1,Are recordings of committee meetings published by Parliament?,Recordings are not published,0.0,1,"There are no laws that require the committee meeting recordings (audio or video) to be published. 

In practice, some committees allow their meetings to be live-streamed and published through their own channels (such as facebook or youtube), but the decision is made arbitrarily and not adopted by the majority of the committees.",
Thailand,House of Representatives,lower,Transparency,Recordings of committee meetings,Q21.2,How soon are recordings of committee meetings published by Parliament?,Recordings are not published,0.0,1,"There are no laws that require the committee meeting recordings (audio or video) to be published. 

In practice, some committees allow their meetings to be live-streamed and published through their own channels (such as facebook or youtube), but the decision is made arbitrarily and not adopted by the majority of the committees.",
Thailand,House of Representatives,lower,Transparency,Transcripts of committee meetings,Q22.1,Are transcripts of committee meetings published by Parliament?,Transcripts are not published,0.0,1,Transcripts are not published,
Thailand,House of Representatives,lower,Transparency,Transcripts of committee meetings,Q22.2,How soon are transcripts of committee meetings published by Parliament?,Not published,0.0,1,Transcripts are not published,
Thailand,House of Representatives,lower,Transparency,Transcripts of committee meetings,Q22.3,In what format does Parliament publish committee meeting transcripts?,Not available,0.0,1,Transcripts are not published,
Thailand,House of Representatives,lower,Transparency,Attendance in committee meetings,Q23.1,Are attendees of committee meetings published by Parliament?,Attendees are published for some meetings,0.5,1,"Attendance cen be accessed in committee meeting reports.
Per Article 78 of 2020 Parliamentary Procedure Regulations, as well as article 60 of the 2017 Constitution of Thailand, report publication are mandatory for committee meetings unless prohibited by the enate or House of Representatives. However, in practice, most committees do not provide meeting reports in a timely manner.",
Thailand,House of Representatives,lower,Transparency,Attendance in committee meetings,Q23.2,How soon are attendance lists of Members of Parliament for committee meetings made publicly available?,Published more than 72 hours after,0.25,1,,ข้อบังคับการประชุม รัฐสภา พ.ศ. ๒๕๖๓ และที่แก้ไข
Thailand,House of Representatives,lower,Transparency,Attendance in committee meetings,Q23.3,In what format does Parliament publish attendance lists of Members of Parliament for committee meetings?,Non-Machine-Readable Format,0.25,1,,
Thailand,House of Representatives,lower,Transparency,Publishing of bills prior to introduction in Parliament,Q24.1,Are draft bills published by Parliament before plenary deliberation?,Drafts are published for all or most bills,1.0,1,Draft bills are required to be published at least three days before deliberation.,https://lis.parliament.go.th/index/index.php 
Thailand,House of Representatives,lower,Transparency,Publishing of bills prior to introduction in Parliament,Q24.2,How far in advance to plenary deliberation in Parliament are draft bills published?,Published more than 72 hours before deliberation,1.0,1,Draft bills are required to be published at least three days before deliberation.,
Thailand,House of Representatives,lower,Transparency,Publishing of details tied to bill amendments post introduction in Parliament,Q25.1,Does Parliament publish the following details for bills that are under consideration? [Select all that apply],Gazetted date | First reading date | Second reading date | Third reading date,1.0,1,Details for bills are digitized but not machine-readable,
Thailand,House of Representatives,lower,Transparency,Publishing of details tied to bill amendments post introduction in Parliament,Q25.2,In what format does Parliament publish the above timeline details of a bill?,Non-Machine-Readable Format,0.25,1,Details for bills are digitized but not machine-readable,
Thailand,House of Representatives,lower,Transparency,Publishing of details tied to bill amendments post introduction in Parliament,Q25.3,Are amendments to bills made publicly available as they are discussed?,All or most amendments are published,1.0,1,Details for bills are digitized but not machine-readable,
Thailand,House of Representatives,lower,Transparency,MP voting records in plenary sessions,Q26.1,Are voting breakdowns showing how each Member of Parliament voted for all business published by Parliament?,Published for some votes,0.5,1,"Individual voting records can be accessed via the following database for the House of Representatives, per the Rules of Procedure of the House of Representatives B.E. 2562 (2019) Rule 89 
""The Secretary-General shall cause the voting of each member to be
recorded and disclose such record at the parliamentary area including publish electronically or
other types of telecommunications for the public, except in case of voting by secret ballot
under Rule 84""

",https://msbis.parliament.go.th/ewtadmin/ewt/parliament_report/main.php?filename=index 
Thailand,House of Representatives,lower,Transparency,MP voting records in plenary sessions,Q26.2,How soon are above voting records made publicly available by Parliament?,Published more than 24 hours and up to 48 hours,0.75,1,"Individual voting records can be accessed via the following database for the House of Representatives, per the Rules of Procedure of the House of Representatives B.E. 2562 (2019) Rule 89 
""The Secretary-General shall cause the voting of each member to be
recorded and disclose such record at the parliamentary area including publish electronically or
other types of telecommunications for the public, except in case of voting by secret ballot
under Rule 84""

",
Thailand,House of Representatives,lower,Transparency,MP voting records in plenary sessions,Q26.3,In what format are above voting records published by Parliament?,Non-Machine Readable Format,0.25,1,"Individual voting records can be accessed via the following database for the House of Representatives, per the Rules of Procedure of the House of Representatives B.E. 2562 (2019) Rule 89 
""The Secretary-General shall cause the voting of each member to be
recorded and disclose such record at the parliamentary area including publish electronically or
other types of telecommunications for the public, except in case of voting by secret ballot
under Rule 84""

",
Thailand,House of Representatives,lower,Transparency,MP salaries and benefits,Q27.1,Does Parliament publish the following details tied to salaries and benefits received per Member of Parliament? [Select all that apply],"Base salary | All allowances given (housing, travel, constituency etc.) | Pensions or retirement benefits | All other monetary or non-monetary benefits (e.g., health insurance, perks)",1.0,1,"The parliament doesn't provide detailed annual reports on utilization of and spending on salaries and benefits of each individual MP, however, an outline on MP's base salaries and benefits are provided
",https://www.parliament.go.th/assets/portals/1/files/13%20สิทธิประโยชน์.pdf 
Thailand,House of Representatives,lower,Transparency,MP salaries and benefits,Q27.2,Does Parliament publish detailed annual reports of actual spending on salaries and benefits of Members of Parliament?,"Yes, published every fiscal year",1.0,1,"Reports on utilization of and spending on salaries and benefits of House of Represenatives and the Senate are provided yearly, accessible via the link below. 
The spendings are grouped into broad categories and not itemised.
https://web.parliament.go.th/view/79/รายงานงบการเงิน/TH-TH ",https://web.parliament.go.th/view/79/รายงานงบการเงิน/TH-TH 
Thailand,House of Representatives,lower,Transparency,Constituency development funds,Q28.1,Are utilization details of funds associated with MPs' constituencies published?,"Not applicable, as no such funds exist or are entirely managed outside parliamentary oversight",N/A,1,,
Thailand,House of Representatives,lower,Transparency,Parliament spending,Q29.1,Does Parliament publish detailed information on its yearly spending? [Select all that apply],Administrative and staff salaries | Committee operations and hearings | Staff employed by MPs and offices | Local travel and accommodation expenses | Delegations and foreign parliamentary travel,1.0,1,"Reports on utilization of and spending on salaries and benefits of House of Represenatives and the Senate are provided yearly, accessible via the link below. 
The spendings are grouped into broad categories and not itemised.
https://web.parliament.go.th/view/79/รายงานงบการเงิน/TH-TH ",https://www.senate.go.th/view/1/money_manage/TH-TH 
Thailand,House of Representatives,lower,Transparency,Parliament spending,Q29.2,How often does Parliament publish detailed reports of its own spending?,Reports are published consistently every year,1.0,1,"Reports on utilization of and spending on salaries and benefits of House of Represenatives and the Senate are provided yearly, accessible via the link below. 
The spendings are grouped into broad categories and not itemised.
https://web.parliament.go.th/view/79/รายงานงบการเงิน/TH-TH ",
Thailand,House of Representatives,lower,Transparency,National budget transparency,Q30.1,Are detailed draft national budget estimates publicly available before parliamentary plenary debate?,Estimates are consistently published before debate,1.0,1,"
Details regarding amendments to the national budget by the committee can be accessed via the link below
",คณะกรรมาธิการวิสามัญพิจารณาร่างพระราชบัญญัติงบประมาณ รายจ่ายประจำปี สภาผู้แทนราษฎร 
Thailand,House of Representatives,lower,Transparency,National budget transparency,Q30.2,How long before plenary debate are the detailed draft budget estimates made public?,1 week to less than 2 weeks before,0.5,1,"
Details regarding amendments to the national budget by the committee can be accessed via the link below
",ปฏิทินงบประมาณ 2570
Thailand,House of Representatives,lower,Transparency,National budget transparency,Q30.3,Are all amendments proposed to the national budget published at each stage of parliamentary consideration until enactment of the budget into law?,"Yes, published at every stage",1.0,1,"
Details regarding amendments to the national budget by the committee can be accessed via the link below
",
Thailand,House of Representatives,lower,Transparency,Freedom of information,Q31.1,Is there a framework for information disclosure in Parliament?,Established by law,1.0,1,A loose and outdated guideline on information disclosre is provided," มาตรการเผยแพร่ข้อมูลต่อสาธารณะ, "
Thailand,House of Representatives,lower,Transparency,Freedom of information,Q31.2,Is there an option to challenge a refusal of information disclosure by Parliament?,Established by law,1.0,1,,
Thailand,House of Senate,upper,Accountability,Code of conduct for MPs,Q1.1,Does a formal code of conduct exist to regulate the ethics and behavior of Members of Parliament?,"Yes, but exists only as a non-binding guideline",0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,No public documentation found at time of assessment.
Thailand,House of Senate,upper,Accountability,Code of conduct for MPs,Q1.2,To what extent are the provisions of the code of conduct effectively implemented and applied in practice for Members of Parliament?,Fully operational as behaviour and sanctions are clear and can be applied when required,1.0,1,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
Thailand,House of Senate,upper,Accountability,Conflicts of interest of MPs,Q2.1,Is disclosure of conflicts of interest of MPs ensured by law?,"No, not required to disclose either by law or custom",0.0,1,"Available in the national language only, no official translation.","See parliament website, official publications section."
Thailand,House of Senate,upper,Accountability,Conflicts of interest of MPs,Q2.2,Can conflicts of interest of MPs be accessed by the public?,Completely accessible without the need for a request,1.0,1,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
Thailand,House of Senate,upper,Accountability,Asset and liability disclosure of MPs,Q3.1,Is disclosure of assets and liabilities of Members of Parliament mandated by law?,"No, not required to disclose either by law or custom",0.0,1,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
Thailand,House of Senate,upper,Accountability,Asset and liability disclosure of MPs,Q3.2,Are asset and liability declarations of Members of Parliament publicly accessible?,Accessible only upon request and/or with limited information available,0.5,1,"Available in the national language only, no official translation.",No public documentation found at time of assessment.
Thailand,House of Senate,upper,Accountability,Formal channel for public queries,Q4.1,Does Parliament provide formal and systematic channels for the public to raise queries to Parliament or MPs?,"No, not available",0.0,1,"Available in the national language only, no official translation.","See parliament website, official publications section."
Thailand,House of Senate,upper,Accountability,Formal channel for public queries,Q4.2,Does Parliament track and publicly report on the status of above public queries raised to Parliament or MPs?,Tracking exists and reports are publicly available,1.0,1,"Available in the national language only, no official translation.","See parliament website, official publications section."
Thailand,House of Senate,upper,Accountability,Pre-legislative scrutiny of bills,Q5.1,Is there scrutiny of bills before plenary deliberation by Parliament to assess viability?,Mandatory,1.0,1,"Provided only upon formal request, not proactively disclosed.","See parliament website, official publications section."
Thailand,House of Senate,upper,Accountability,Pre-legislative scrutiny of bills,Q5.2,How consistently are bills subject to scrutiny prior to plenary deliberation by Parliament?,All bills undergo scrutiny,1.0,1,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
Thailand,House of Senate,upper,Accountability,Post-legislative scrutiny of laws,Q6.1,Is there post-legislative scrutiny of laws by Parliament to assess effectiveness after enactment?,Mandatory,1.0,1,Practice varies by session; not consistently applied.,No public documentation found at time of assessment.
Thailand,House of Senate,upper,Accountability,Post-legislative scrutiny of laws,Q6.2,How consistently are laws subject to post-legislative scrutiny by Parliament after enactment?,Scrutiny is absent,0.0,1,Publicly available on the parliament's official website.,Illustrative placeholder — not independently verified.
Thailand,House of Senate,upper,Citizen Participation,Public feedback on bills prior to Parliament deliberation,Q7.1,"Is there regular public consultation for proposals or feedback on bills during the drafting stage, prior to formal introduction in Parliament?",Public consultation occurs through closed calls or only for selected draft bills,0.5,1,Confirmed via secondary reporting; not directly verified with the secretariat.,"See parliament website, official publications section."
